"accgrpid","userid1","branchname","uwritrname"
381,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
382,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
383,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
384,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
385,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
386,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
387,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
388,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
389,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
390,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
391,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
392,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
393,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
394,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
395,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
396,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
397,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
398,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
399,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
400,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
401,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
402,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
403,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
404,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
405,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
406,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
407,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
